Tue Jul 13 17:28:26 2021    output2.dat

         9700 function calls (9465 primitive calls) in 0.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\copyreg.py:103(_slotnames)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\weakref.py:365(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\weakref.py:485(popitem)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:102(CFunctionType)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:76(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:368(_FuncPtr)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:340(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:152(_roundup)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:205(_add_free_block)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:258(_free_pending_blocks)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:134(rng)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:148(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:145(__next__)
        2    0.000    0.000    0.000    0.000 <string>:2(getvalue)
        2    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001A643E7A0D0}
        2    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
